team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,mid_major,loss_bonus,wins,losses,blend,seed
Bowling Green,MAC,-5.16,0.4856,-13.96944,-11.32966667,-109,240,201,221,223,229,TRUE,FALSE,14,16,221.6,
CSU Bakersfield,WAC,-4.88,0.4752,-14.49832,-11.06444444,-102,239,218,235,217,214,TRUE,FALSE,9,18,222.95,
Colorado St.,MWC,-4.06,0.4619,-16.47484,-11.95711111,-80,228,242,275,192,241,TRUE,FALSE,10,21,223.3,
Monmouth,MAAC,0.53,0.4884,-16.6654,-13.546,-111,164,193,282,226,270,TRUE,FALSE,11,20,223.55,
Western Caro.,Southern,-8.51,0.4753,-14.76628,-11.25888889,-93,295,217,237,207,226,TRUE,FALSE,11,19,225.2,
Akron,MAC,-5.98,0.4718,-15.60852,-12.57177778,-86,259,224,256,201,255,TRUE,FALSE,13,18,225.45,
Lehigh,Patriot,-5.71,0.4788,-11.77108,-9.866777778,-123,251,211,172,244,192,TRUE,FALSE,15,14,226.05,
California,Pac 12,-6.71,0.4653,-18.02188,-13.24622222,-78,272,235,298,189,263,FALSE,FALSE,8,23,227.1,
UTRGV,WAC,-5.51,0.47,-14.19508,-11.18022222,-106,245,227,228,220,222,TRUE,FALSE,13,17,227.25,
Delaware,CAA,-6.22,0.4694,-16.6862,-13.68988889,-81,262,229,283,193,272,TRUE,FALSE,12,19,227.8,
Mt. St. Mary's,NEC,-4.38,0.4735,-12.30468,-10.51355556,-122,230,222,186,242,207,TRUE,FALSE,16,14,228.7,
Boston U.,Patriot,-5.71,0.4807,-14.10148,-11.80177778,-115,250,206,224,232,235,TRUE,FALSE,14,16,228.8,
Stony Brook,Am. East,-3.04,0.4802,-15.62492,-12.42088889,-112,219,208,258,229,252,TRUE,FALSE,12,19,229.95,
Cornell,Ivy,-5.32,0.459,-13.75856,-11.27522222,-101,243,251,215,215,228,TRUE,FALSE,11,16,230.1,
Texas Southern,SWAC,-4.73,0.4682,-14.18136,-11.10811111,-111.907,237,230,226,228,217,TRUE,FALSE,14.829,19.171,230.1,16
North Dakota,Big Sky,-5.78,0.4796,-15.89916,-12.08266667,-106,256,209,264,221,245,TRUE,FALSE,10,20,230.2,
Robert Morris,NEC,-5.73,0.4919,-14.43728,-11.883,-126,253,183,234,246,238,TRUE,FALSE,16,17,230.95,
Hampton,MEAC,-6.56,0.4695,-12.79772,-11.26788889,-113,270,228,194,230,227,TRUE,FALSE,16,15,231.6,
Ill.-Chicago,Horizon,-1.78,0.4637,-12.80976,-10.41322222,-127,194,238,195,247,205,TRUE,FALSE,15,15,232.05,
Air Force,MWC,-2.55,0.4537,-15.77512,-12.08533333,-101,213,257,262,216,246,TRUE,FALSE,10,19,235.55,
Manhattan,MAAC,-2.58,0.4715,-14.88772,-12.24988889,-120,214,225,241,239,250,TRUE,FALSE,14,17,236.3,
Duquesne,A-10,-0.24,0.4477,-13.74832,-11.11822222,-124,172,264,214,245,218,TRUE,FALSE,16,16,238.65,
North Texas,C-USA,-1.6,0.4607,-14.22224,-11.03888889,-127,193,247,229,248,213,TRUE,FALSE,13,17,238.85,
Idaho St.,Big Sky,-2.44,0.4456,-13.71364,-11.12333333,-119,212,269,212,237,219,TRUE,FALSE,12,16,240.2,
North Florida,A-Sun,-9.38,0.4681,-14.84452,-11.69722222,-114,307,231,239,231,232,TRUE,FALSE,11,19,241.5,
Saint Peter's,MAAC,-1.99,0.4592,-15.6478,-12.87355556,-120,201,250,259,240,257,TRUE,FALSE,14,18,244.2,
Prairie View,SWAC,-6.33,0.4611,-14.98348,-12.17377778,-117,266,244,244,236,249,TRUE,FALSE,15,18,245.1,
Abilene Christian,Southland,-5.56,0.4588,-13.42716,-11.72122222,-128,247,252,204,250,233,TRUE,FALSE,12,15,245.9,
Milwaukee,Horizon,-2.27,0.4648,-14.03816,-11.54188889,-142,208,236,223,264,231,TRUE,FALSE,15,16,246,
Southern Utah,Big Sky,-6.74,0.461,-15.44208,-12.01,-120,274,245,252,238,242,TRUE,FALSE,11,19,247.15,
Drexel,CAA,-6.38,0.4658,-17.62004,-14.63377778,-111,267,234,291,227,289,TRUE,FALSE,12,20,247.35,
Loyola Marymount,WCC,-3.2,0.4469,-15.43044,-11.82777778,-121,220,268,251,241,237,TRUE,FALSE,10,20,248.25,
Northern Ill.,MAC,-5.73,0.4611,-16.64616,-13.73122222,-116,252,243,280,234,274,TRUE,FALSE,11,19,248.65,
Charleston So.,Big South,-4.65,0.4512,-13.83736,-11.74422222,-132,235,259,218,253,234,TRUE,FALSE,12,16,249.3,
Gardner-Webb,Big South,-6.3,0.463,-15.1144,-12.41355556,-127,264,241,247,249,251,TRUE,FALSE,11,18,250.5,
NJIT,A-Sun,-5.16,0.4471,-13.79384,-11.88577778,-128,241,266,217,251,239,TRUE,FALSE,12,16,251.15,
N.C. A&T,MEAC,-10.18,0.4609,-12.34328,-10.77188889,-138,320,246,187,259,211,TRUE,FALSE,18,14,251.85,
Campbell,Big South,-3.48,0.4472,-13.54624,-11.93566667,-143,222,265,206,265,240,TRUE,FALSE,13,15,254.3,
Southeast Mo. St.,OVC,-5.52,0.4555,-15.16728,-12.93422222,-131,246,254,249,252,259,TRUE,FALSE,12,17,254.3,
Grambling,SWAC,-8.94,0.4596,-12.47292,-10.54188889,-150,302,248,188,270,208,TRUE,FALSE,16,14,255.3,
Oral Roberts,Summit,-4.24,0.4505,-15.92332,-12.12733333,-133,229,260,265,254,248,TRUE,FALSE,8,20,255.5,
Appalachian St.,Sunbelt,-2.02,0.4547,-15.67648,-13.06944444,-140,203,255,261,262,262,TRUE,FALSE,13,18,256.25,
Massachusetts,A-10,-2.67,0.4566,-16.53556,-12.717,-138,216,253,277,260,256,TRUE,FALSE,13,20,257.15,
UNCW,CAA,-6.85,0.4631,-18.11848,-14.77133333,-122,276,240,300,243,291,TRUE,FALSE,9,21,258.05,
Coastal Caro.,Sunbelt,-4.7,0.4639,-15.99304,-13.33633333,-159,236,237,266,277,265,TRUE,FALSE,11,18,262.6,
East Carolina,AAC,-9.8,0.4347,-16.65048,-13.75311111,-115,313,283,281,233,276,FALSE,FALSE,10,20,262.6,
South Ala.,Sunbelt,-5.74,0.447,-15.57928,-12.89766667,-138,254,267,255,261,258,TRUE,FALSE,12,18,262.9,
Texas St.,Sunbelt,-2.97,0.4636,-16.02108,-13.359,-160,218,239,267,280,267,TRUE,FALSE,13,18,262.95,
Eastern Ill.,OVC,-5.59,0.4498,-16.57328,-13.946,-135,248,262,278,256,281,TRUE,FALSE,10,19,263.4,
Western Ill.,Summit,-8.77,0.4257,-13.67272,-11.20488889,-135,300,300,208,255,224,TRUE,FALSE,8,16,264.95,
Brown,Ivy,-4.82,0.4304,-13.98456,-11.805,-147,238,292,222,268,236,TRUE,FALSE,10,16,265.2,
High Point,Big South,-6.18,0.4449,-14.33892,-12.51644444,-151,261,270,232,272,254,TRUE,FALSE,11,16,266.6,
Santa Clara,WCC,-7.88,0.4406,-15.28108,-12.124,-141,286,275,250,263,247,TRUE,FALSE,10,19,267.4,16
LIU Brooklyn,NEC,-5.65,0.4738,-15.0252,-13.44,-176,249,221,246,301,268,TRUE,FALSE,17,16,269,
UMKC,WAC,-8.64,0.4546,-17.36428,-13.96444444,-145,298,256,287,266,283,TRUE,FALSE,8,21,272.5,
Norfolk St.,MEAC,-9.3,0.4516,-15.117,-13.35888889,-158,306,258,248,276,266,TRUE,FALSE,13,17,272.7,
Omaha,Summit,-8.4,0.438,-17.67764,-13.85266667,-137,293,278,293,258,277,TRUE,FALSE,7,22,273.9,
Bethune-Cookman,MEAC,-8.1,0.4328,-13.19996,-12.04266667,-161,290,287,201,282,244,TRUE,FALSE,16,14,274.15,
McNeese,Southland,-7.87,0.4344,-15.0082,-13.03988889,-155,285,284,245,274,261,TRUE,FALSE,8,17,275.4,
Montana St.,Big Sky,-7.79,0.439,-16.61632,-13.691,-150,284,276,279,271,273,TRUE,FALSE,11,19,276.55,16
N.C. Central,MEAC,-11.12,0.4407,-13.93504,-12.50355556,-161,325,274,220,283,253,TRUE,FALSE,16,15,277.65,
James Madison,CAA,-6,0.4434,-19.63776,-16.69188889,-145,260,273,319,267,313,TRUE,FALSE,9,22,279.6,
Fairleigh Dickinson,NEC,-6.88,0.4594,-15.53816,-13.25366667,-177,278,249,254,302,264,TRUE,FALSE,11,18,279.75,
UMass Lowell,Am. East,-6.87,0.4331,-16.34268,-14.21366667,-152,277,286,274,273,285,TRUE,FALSE,11,18,279.95,
Central Conn. St.,NEC,-8.21,0.4488,-16.24756,-14.05944444,-161,291,263,272,284,284,TRUE,FALSE,14,18,280.25,
Samford,Southern,-9.58,0.429,-18.48416,-15.05588889,-136,309,295,306,257,296,TRUE,FALSE,8,22,282.5,
Quinnipiac,MAAC,-6.64,0.4368,-18.9466,-16.14088889,-156,271,280,313,275,307,TRUE,FALSE,12,21,284.85,
Eastern Ky.,OVC,-9.72,0.4445,-17.71748,-14.92877778,-159,311,272,294,278,294,TRUE,FALSE,9,20,285,
Fla. Atlantic,C-USA,-4.58,0.4323,-16.32476,-13.47911111,-172,234,289,273,296,269,TRUE,FALSE,9,19,285.05,
South Fla.,AAC,-9.98,0.4318,-18.42204,-15.22722222,-147,317,290,304,269,299,FALSE,FALSE,10,22,285.55,
Army West Point,Patriot,-5.82,0.4356,-15.6222,-13.74488889,-175,257,282,257,299,275,TRUE,FALSE,12,17,285.95,
Southern U.,SWAC,-10.68,0.4236,-14.906,-13.02055556,-160.392,323,302,242,281,260,TRUE,FALSE,13.624,17.376,286.45,
UTEP,C-USA,-7.12,0.4302,-17.36216,-14.29022222,-161,280,293,286,285,287,TRUE,FALSE,10,20,288.8,
Columbia,Ivy,-3.62,0.4179,-16.10108,-13.85466667,-171,223,311,268,295,278,TRUE,FALSE,7,19,289.4,
Portland,WCC,-6.71,0.4281,-17.53864,-13.95166667,-164,273,296,288,287,282,TRUE,FALSE,7,22,289.45,
Jacksonville,A-Sun,-11.48,0.4389,-15.78808,-13.68244444,-170,327,277,263,294,271,TRUE,FALSE,11,18,289.65,
IUPUI,Horizon,-8.01,0.4274,-16.12244,-13.90333333,-167,288,297,269,289,280,TRUE,FALSE,9,19,290,
Morehead St.,OVC,-9.23,0.437,-17.87164,-15.09855556,-163,304,279,297,286,297,TRUE,FALSE,6,21,290.25,
FIU,C-USA,-4.54,0.4267,-16.21,-13.89533333,-177,232,298,270,303,279,TRUE,FALSE,11,18,290.95,
Holy Cross,Patriot,-6.5,0.4502,-17.3014,-15.18844444,-197,268,261,284,311,298,TRUE,FALSE,12,19,292.2,
A&M-Corpus Chris,Southland,-5.3,0.4079,-16.21152,-14.233,-164,242,323,271,288,286,TRUE,FALSE,8,18,292.25,
Fordham,A-10,-6.26,0.4233,-18.42268,-14.86822222,-167,263,303,305,290,293,TRUE,FALSE,9,22,294.35,
St. Francis Brooklyn,NEC,-8.55,0.4447,-16.52372,-14.72566667,-184,297,271,276,308,290,TRUE,FALSE,11,18,294.65,
Kennesaw St.,A-Sun,-8.85,0.4259,-17.3492,-15.03066667,-167,301,299,285,291,295,TRUE,FALSE,8,20,295.8,
SIUE,OVC,-9.8,0.4341,-18.1878,-15.72166667,-168,314,285,301,292,303,TRUE,FALSE,9,21,296.45,
The Citadel,Southern,-10.15,0.4359,-17.66328,-14.58011111,-178,319,281,292,304,288,TRUE,FALSE,8,21,298.95,
Cal Poly,Big West,-9.86,0.4219,-19.85212,-16.92744444,-159,315,306,322,279,317,TRUE,FALSE,7,22,299.45,
New Hampshire,Am. East,-5.77,0.4164,-18.64012,-16.01977778,-168,255,314,310,293,306,TRUE,FALSE,8,21,299.45,
Green Bay,Horizon,-6.76,0.4195,-17.55512,-14.82477778,-175,275,309,289,300,292,TRUE,FALSE,10,20,299.85,
UC Riverside,Big West,-6.52,0.4254,-19.31788,-16.37922222,-180,269,301,317,305,310,TRUE,FALSE,7,22,304.1,
Arkansas St.,Sunbelt,-7.59,0.43,-18.41772,-15.68711111,-197,283,294,303,312,302,TRUE,FALSE,9,21,304.7,
Chattanooga,Southern,-8.31,0.4226,-20.46076,-17.33522222,-173,292,304,323,298,322,TRUE,FALSE,8,23,305.8,
VMI,Southern,-12.61,0.4134,-18.24504,-15.409,-172,332,316,302,297,301,TRUE,FALSE,7,21,308.15,
Siena,MAAC,-8.46,0.431,-21.32952,-18.16644444,-185,294,291,331,309,326,TRUE,FALSE,8,24,308.9,
Cleveland St.,Horizon,-8.74,0.4328,-19.77304,-16.98877778,-209,299,288,320,318,319,TRUE,FALSE,11,23,310.9,
Binghamton,Am. East,-7.52,0.4083,-18.05956,-15.98411111,-205,282,320,299,315,305,TRUE,FALSE,9,20,312.35,
Dartmouth,Ivy,-8.53,0.3946,-17.81976,-15.38911111,-182,296,334,296,306,300,TRUE,FALSE,6,20,312.4,
Sacramento St.,Big Sky,-5.97,0.4221,-21.8726,-18.35444444,-206,258,305,336,316,330,TRUE,FALSE,5,25,312.85,
UT Martin,OVC,-9.24,0.4167,-18.9946,-16.62666667,-202,305,313,314,314,311,TRUE,FALSE,8,21,314.55,
Lafayette,Patriot,-6.33,0.4206,-19.02888,-17.11688889,-218,265,308,315,327,320,TRUE,FALSE,9,21,316.15,
San Jose St.,MWC,-7.35,0.4083,-22.5958,-18.71111111,-182,281,322,341,307,334,TRUE,FALSE,3,26,316.25,
Jackson St.,SWAC,-14.31,0.4057,-17.78968,-15.83366667,-190.112,338,325,295,310,304,TRUE,FALSE,10.464,19.536,316.45,
Pepperdine,WCC,-6.99,0.4083,-21.36016,-17.51388889,-200,279,321,332,313,324,TRUE,FALSE,5,26,316.6,
Presbyterian,Big South,-12.18,0.4146,-18.55688,-16.356,-208,330,315,308,317,309,TRUE,FALSE,8,21,318.1,
Sacred Heart,NEC,-8.06,0.4102,-19.05392,-16.93277778,-214,289,318,316,325,318,TRUE,FALSE,9,21,320.05,
Morgan St.,MEAC,-10.63,0.4033,-17.58024,-16.202,-213,322,326,290,323,308,TRUE,FALSE,11,19,320.85,
Little Rock,Sunbelt,-9.46,0.421,-21.5538,-18.49155556,-212,308,307,334,322,331,TRUE,FALSE,6,24,320.95,
Loyola Maryland,Patriot,-9.64,0.4112,-19.84516,-17.46844444,-214,310,317,321,326,323,TRUE,FALSE,8,22,323.35,
Stetson,A-Sun,-9.78,0.4009,-18.62252,-16.77633333,-213,312,328,309,324,315,TRUE,FALSE,8,20,323.4,
Charlotte,C-USA,-9.1,0.3982,-20.5486,-17.62111111,-209,303,331,324,319,325,TRUE,FALSE,5,23,323.5,
Detroit Mercy,Horizon,-12.25,0.4087,-21.25388,-18.33255556,-212,331,319,329,321,329,TRUE,FALSE,6,24,325.1,
Ark.-Pine Bluff,SWAC,-10.12,0.418,-18.92104,-16.78177778,-232.176,318,310,312,336,316,TRUE,FALSE,13.872,21.128,325.3,
South Carolina St.,MEAC,-15.93,0.3995,-19.58228,-17.27177778,-211,343,329,318,320,321,TRUE,FALSE,8,22,326.45,
Rice,C-USA,-7.92,0.3985,-21.22932,-18.22244444,-221,287,330,328,329,328,TRUE,FALSE,5,24,326.85,
Northern Ariz.,Big Sky,-11.73,0.4169,-22.58628,-19.05955556,-223,329,312,340,331,335,TRUE,FALSE,4,26,329.35,
Incarnate Word,Southland,-14.57,0.3746,-18.54344,-16.76922222,-220,339,343,307,328,314,TRUE,FALSE,3,21,331.35,
Youngstown St.,Horizon,-10.59,0.4011,-21.25748,-18.20955556,-227,321,327,330,333,327,TRUE,FALSE,6,24,331.4,
Alcorn,SWAC,-13.61,0.3731,-18.72236,-16.65866667,-231,334,346,311,335,312,TRUE,FALSE,7,21,334.95,
Marist,MAAC,-9.86,0.4067,-22.7114,-20.04166667,-242,316,324,343,338,342,TRUE,FALSE,6,25,335.2,
Northwestern St.,Southland,-17.17,0.3776,-20.94556,-18.652,-222,346,342,326,330,333,TRUE,FALSE,2,23,336.5,
Alabama St.,SWAC,-14.21,0.3964,-20.68724,-18.616,-245,336,332,325,339,332,TRUE,FALSE,8,23,336.85,
CSUN,Big West,-12.92,0.3823,-21.94768,-19.365,-224,333,340,337,332,339,TRUE,FALSE,4,24,337.3,
American,Patriot,-11.03,0.3897,-21.48844,-19.24288889,-257,324,336,333,340,337,TRUE,FALSE,6,24,338.4,
Houston Baptist,Southland,-13.86,0.3734,-21.8382,-19.18111111,-241,335,345,335,337,336,TRUE,FALSE,3,25,340.5,
Chicago St.,WAC,-18.1,0.3847,-24.30524,-20.21766667,-229,348,337,347,334,345,TRUE,FALSE,1,29,340.55,
Florida A&M,MEAC,-15,0.3953,-22.45168,-19.73233333,-258,341,333,339,341,341,TRUE,FALSE,8,25,340.8,
Howard,MEAC,-14.22,0.3836,-21.0666,-19.28355556,-267,337,339,327,343,338,TRUE,FALSE,8,23,341.3,
Maine,Am. East,-11.5,0.384,-23.0842,-20.15877778,-269,328,338,344,344,343,TRUE,FALSE,4,26,342.8,
Longwood,Big South,-16.31,0.3902,-24.01136,-21.57188889,-297,344,335,346,346,346,TRUE,FALSE,4,26,345.05,
USC Upstate,A-Sun,-14.7,0.3707,-22.6294,-20.18644444,-261,340,348,342,342,344,TRUE,FALSE,3,25,345.5,
UMES,MEAC,-20.49,0.3724,-22.15716,-19.69311111,-274,350,347,338,345,340,TRUE,FALSE,5,25,346.8,
Bryant,NEC,-15.08,0.3789,-25.69368,-23.21788889,-308,342,341,349,348,349,TRUE,FALSE,3,28,347.85,
Coppin St.,MEAC,-17.66,0.3734,-23.88972,-21.63877778,-300,347,344,345,347,347,TRUE,FALSE,5,27,348.05,
Mississippi Val.,SWAC,-16.92,0.3592,-25.5716,-22.952,-315,345,349,348,349,348,TRUE,FALSE,4,28,350.4,
Alabama A&M,SWAC,-20.29,0.3404,-25.85848,-23.66766667,-343,349,350,350,350,350,TRUE,FALSE,3,28,351.9,
Delaware St.,MEAC,-20.73,0.3352,-26.39924,-24.45355556,-347,351,351,351,351,351,TRUE,FALSE,2,28,353,
