team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,mid_major,loss_bonus,wins,losses,blend,seed
Alcorn,SWAC,-13.61,0.4691,-12.6346,-10.93488889,-71,334,226,192,178,217,TRUE,FALSE,15,14,212.9,NA
Saint Joseph's,A-10,3.95,0.4766,-16.02692,-12.39266667,-100,110,210,263,214,249,TRUE,FALSE,11,20,213,NA
Navy,Patriot,-4.08,0.4884,-13.78676,-11.17255556,-98,228,198,215,213,221,TRUE,FALSE,15,16,213.75,NA
Western Ky.,C-USA,6.47,0.4617,-13.6606,-10.079,-127,84,234,213,240,199,TRUE,FALSE,15,17,218.1,NA
Montana,Big Sky,7.82,0.4725,-13.05096,-9.632333333,-146,75,218,199,264,192,TRUE,FALSE,16,16,221.9,NA
Central Mich.,MAC,0.61,0.4719,-14.06616,-11.51622222,-120,161,220,226,231,230,TRUE,FALSE,14,16,222.65,NA
Lamar University,Southland,-2.24,0.4701,-12.27024,-10.03344444,-125,209,222,185,237,195,TRUE,FALSE,15,14,223.05,NA
UNLV,MWC,2.84,0.4549,-16.147,-11.84255556,-102,129,244,266,215,238,TRUE,FALSE,11,21,223.05,NA
Holy Cross,Patriot,-6.52,0.4834,-14.80624,-12.348,-95,269,206,240,209,247,TRUE,FALSE,15,17,223.15,NA
Bradley,MVC,3.08,0.4678,-15.58616,-11.43477778,-118,125,230,255,229,227,TRUE,FALSE,12,20,223.25,NA
Missouri,SEC,9.57,0.4427,-17.08276,-11.56177778,-109,51,269,278,223,232,FALSE,FALSE,8,24,223.7,NA
Long Beach St.,Big West,-2.07,0.4729,-13.9526,-10.00911111,-124,207,217,221,234,194,TRUE,FALSE,13,19,223.75,NA
Fordham,A-10,-6.33,0.4701,-15.79276,-12.24888889,-89,265,221,259,202,244,TRUE,FALSE,12,19,224.95,NA
LIU Brooklyn,NEC,-5.66,0.4731,-10.8382,-9.165777778,-130,249,215,156,246,187,TRUE,FALSE,19,12,225.65,NA
Radford,Big South,0.03,0.4699,-15.4576,-13.353,-107,168,223,253,222,263,TRUE,FALSE,12,18,226.05,NA
Murray St.,OVC,6.45,0.469,-15.24572,-13.03322222,-131,85,227,247,249,258,TRUE,FALSE,14,17,229.8,NA
UTEP,C-USA,-7.13,0.4698,-14.2702,-10.97377778,-106,280,225,231,219,219,TRUE,FALSE,14,17,229.8,NA
IUPUI,Horizon,-8.03,0.4759,-14.73416,-11.48088889,-107,288,212,239,221,229,TRUE,FALSE,12,18,230.05,NA
Cal St. Fullerton,Big West,0.51,0.442,-12.40128,-10.18333333,-124,163,271,187,235,203,TRUE,FALSE,15,14,230.8,NA
Saint Louis,A-10,-0.93,0.454,-17.63404,-14.02422222,-96,179,247,292,210,276,TRUE,FALSE,12,21,232.95,NA
High Point,Big South,-6.2,0.4622,-13.93988,-11.80433333,-113,263,233,220,225,237,TRUE,FALSE,12,16,233.5,NA
Seattle U,WAC,-1.26,0.4409,-14.31396,-11.39733333,-106,188,273,232,220,225,TRUE,FALSE,10,17,233.75,NA
Columbia,Ivy,-3.63,0.4501,-13.97264,-11.72277778,-117,223,255,222,228,235,TRUE,FALSE,10,16,236.35,NA
Nicholls St.,Southland,-1.94,0.4556,-14.03304,-11.41111111,-128,199,243,224,242,226,TRUE,FALSE,10,17,236.55,NA
Loyola Maryland,Patriot,-9.66,0.4811,-13.81616,-11.60877778,-126,310,208,217,239,233,TRUE,FALSE,14,16,237.55,NA
USC Upstate,A-Sun,-14.72,0.4679,-13.07608,-11.11211111,-115,340,229,202,227,220,TRUE,FALSE,13,15,237.6,NA
Charlotte,C-USA,-9.11,0.4524,-13.63908,-10.09911111,-114,303,251,210,226,200,TRUE,FALSE,12,17,237.75,NA
South Ala.,Sunbelt,-5.73,0.4698,-16.10992,-13.63411111,-118,251,224,264,230,267,TRUE,FALSE,12,18,239.7,NA
Little Rock,Sunbelt,-9.46,0.4585,-14.53076,-11.65244444,-113,308,240,235,224,234,TRUE,FALSE,13,17,240.5,NA
Pacific,WCC,-1.47,0.4648,-17.27068,-13.49777778,-125,193,231,284,238,265,TRUE,FALSE,10,22,241.05,NA
Delaware,CAA,-6.2,0.4645,-17.56124,-14.589,-105,262,232,289,218,287,TRUE,FALSE,11,20,241.9,NA
Wagner,NEC,-0.86,0.459,-12.97528,-11.53433333,-148,177,238,195,267,231,TRUE,FALSE,15,14,241.95,NA
Bowling Green,MAC,-5.2,0.468,-16.20684,-13.34155556,-124,242,228,267,236,262,TRUE,FALSE,12,19,242.3,NA
Montana St.,Big Sky,-7.82,0.4583,-13.47128,-10.37388889,-134,284,241,207,250,206,TRUE,FALSE,14,16,244.45,NA
Norfolk St.,MEAC,-9.27,0.461,-13.12428,-10.96577778,-134,305,235,204,251,218,TRUE,FALSE,15,16,246.4,NA
North Florida,A-Sun,-9.39,0.4772,-15.94304,-13.01333333,-129,307,209,260,244,257,TRUE,FALSE,11,19,246.45,NA
Indiana St.,MVC,1,0.4541,-16.31224,-12.37366667,-139,154,246,271,257,248,TRUE,FALSE,10,20,246.45,NA
Campbell,Big South,-3.49,0.4588,-15.6644,-13.90222222,-130,222,239,256,248,274,TRUE,FALSE,14,17,248.55,NA
Southeastern La.,Southland,-1,0.4599,-14.87928,-13.189,-148,181,237,241,268,260,TRUE,FALSE,14,16,250.05,NA
Hawaii,Big West,-2.34,0.4383,-14.0436,-11.75155556,-130,211,283,225,247,236,TRUE,FALSE,13,16,251.1,NA
Ill.-Chicago,Horizon,-1.84,0.4535,-16.24404,-13.89488889,-135,196,248,269,253,273,TRUE,FALSE,13,18,251.65,NA
Northern Colo.,Big Sky,5.78,0.4339,-15.284,-12.69188889,-144,91,292,250,262,253,TRUE,FALSE,9,18,252.3,NA
Portland St.,Big Sky,2.35,0.4404,-13.87112,-11.38233333,-159,133,275,218,281,224,TRUE,FALSE,12,16,254.7,NA
Brown,Ivy,-4.84,0.4397,-14.58672,-12.42722222,-134,238,278,237,252,250,TRUE,FALSE,11,17,257.4,NA
Pepperdine,WCC,-7.03,0.4501,-17.485,-13.62855556,-128,279,256,287,243,266,TRUE,FALSE,8,22,258.55,NA
Saint Francis (PA),NEC,-1.81,0.4491,-14.08124,-12.08288889,-157,195,261,227,278,241,TRUE,FALSE,15,16,258.65,NA
Duquesne,A-10,-0.24,0.4402,-18.74104,-15.662,-129,172,277,304,245,301,TRUE,FALSE,10,22,259.2,NA
Savannah St.,MEAC,-11.3,0.4393,-14.18676,-12.16422222,-127,325,279,230,241,242,TRUE,FALSE,11,16,259.9,NA
Charleston So.,Big South,-4.67,0.4321,-16.6482,-14.29477778,-123,235,297,275,233,283,TRUE,FALSE,9,19,260.4,NA
Northern Ill.,MAC,-5.77,0.4531,-15.14612,-12.61233333,-149,254,250,246,270,252,TRUE,FALSE,12,17,261.2,NA
Air Force,MWC,-2.56,0.4522,-17.52656,-13.82255556,-146,214,252,288,265,271,TRUE,FALSE,10,21,261.55,NA
UTSA,C-USA,-0.45,0.4432,-15.74076,-12.27111111,-162,173,266,257,284,245,TRUE,FALSE,12,19,263.8,NA
Manhattan,MAAC,-2.59,0.4503,-19.20488,-16.286,-140,215,254,310,259,309,TRUE,FALSE,10,22,265.45,NA
Kennesaw St.,A-Sun,-8.84,0.4494,-16.11972,-14.06888889,-137,301,259,265,254,279,TRUE,FALSE,12,18,265.55,NA
Eastern Ill.,OVC,-5.61,0.4468,-13.11808,-10.80588889,-163,248,264,203,292,213,TRUE,FALSE,12,15,265.8,NA
Portland,WCC,-6.76,0.45,-17.89924,-14.20355556,-138,274,257,295,255,281,TRUE,FALSE,9,22,266,NA
Eastern Ky.,OVC,-9.73,0.4599,-15.98116,-13.30744444,-152,311,236,261,271,261,TRUE,FALSE,10,19,266.25,NA
Hampton,MEAC,-6.09,0.4428,-14.98512,-13.773,-153,261,268,242,272,270,TRUE,FALSE,12,16,268.7,NA
Jacksonville,A-Sun,-11.49,0.4332,-13.80964,-12.31444444,-143,327,293,216,261,246,TRUE,FALSE,13,15,271.6,NA
Army West Point,Patriot,-5.83,0.4487,-17.11608,-14.88833333,-148,257,263,280,269,291,TRUE,FALSE,12,19,271.6,NA
Appalachian St.,Sunbelt,-2.05,0.4353,-17.48216,-14.78377778,-147,204,289,286,266,290,TRUE,FALSE,7,21,271.95,NA
Cornell,Ivy,-4.86,0.441,-18.31728,-15.49955556,-144,239,272,300,263,297,TRUE,FALSE,7,21,271.95,NA
Austin Peay,OVC,-1.29,0.4489,-16.46504,-13.63411111,-165,189,262,273,295,268,TRUE,FALSE,9,19,273.25,NA
Abilene Christian,Southland,-5.59,0.4392,-14.5666,-12.79633333,-162,247,280,236,285,254,TRUE,FALSE,9,16,273.95,NA
Sacramento St.,Big Sky,-6.03,0.433,-15.27536,-12.04988889,-157,260,295,249,277,240,TRUE,FALSE,11,18,275.3,NA
Robert Morris,NEC,-5.75,0.4583,-16.31376,-13.87333333,-167,253,242,272,297,272,TRUE,FALSE,14,19,275.85,NA
Western Caro.,Southern,-8.56,0.4421,-19.18724,-15.77855556,-140,297,270,309,258,303,TRUE,FALSE,7,23,276.5,NA
Southeast Mo. St.,OVC,-5.56,0.4409,-15.7802,-13.01144444,-164,246,274,258,293,256,TRUE,FALSE,13,18,278.35,NA
Oregon St.,Pac 12,5.1,0.4293,-22.97064,-18.71322222,-158,96,306,347,280,337,FALSE,FALSE,4,27,280.5,NA
Miami (OH),MAC,-0.51,0.431,-18.84104,-16.13722222,-160,174,300,305,282,308,TRUE,FALSE,9,21,282.6,NA
James Madison,CAA,-5.99,0.4531,-20.87652,-18.08366667,-161,258,249,327,283,326,TRUE,FALSE,9,23,282.7,NA
UMES,MEAC,-20.51,0.4373,-17.24656,-15.12844444,-142,350,286,282,260,292,TRUE,FALSE,12,20,282.9,NA
Tulane,AAC,-1.11,0.4202,-20.20308,-16.07444444,-153,184,317,320,273,307,FALSE,FALSE,6,25,283.2,NA
Cleveland St.,Horizon,-8.75,0.4496,-19.09444,-16.48988889,-158,299,258,307,279,310,TRUE,FALSE,8,22,283.65,NA
Oral Roberts,Summit,-4.25,0.4347,-17.68532,-14.12666667,-162,229,290,293,288,280,TRUE,FALSE,6,22,284.3,NA
Tennessee Tech,OVC,-4,0.4403,-17.09224,-14.52366667,-173,226,276,279,304,286,TRUE,FALSE,10,20,286.9,NA
The Citadel,Southern,-10.18,0.4378,-17.97068,-14.76088889,-154,319,285,296,274,289,TRUE,FALSE,9,21,286.95,NA
Incarnate Word,Southland,-14.59,0.4345,-14.99876,-12.97211111,-162,339,291,243,286,255,TRUE,FALSE,8,17,287.15,NA
Youngstown St.,Horizon,-10.62,0.4514,-18.0234,-15.37866667,-162,321,253,297,290,296,TRUE,FALSE,11,21,287.15,NA
Grambling,SWAC,-8.95,0.4231,-15.32804,-14.02755556,-155,302,314,251,275,277,TRUE,FALSE,13,17,287.25,NA
Prairie View,SWAC,-6.34,0.4322,-16.93752,-14.32844444,-162,267,296,276,289,284,TRUE,FALSE,11,20,288.75,NA
Southern U.,SWAC,-10.7,0.4232,-15.35656,-13.67822222,-156,323,313,252,276,269,TRUE,FALSE,13,17,288.85,NA
South Fla.,AAC,-10.01,0.4157,-19.82296,-16.71144444,-138,317,324,318,256,312,FALSE,FALSE,7,23,290.9,NA
NJIT,A-Sun,-5.17,0.4368,-17.74784,-15.53811111,-167,241,288,294,298,298,TRUE,FALSE,9,20,291.4,NA
Fairleigh Dickinson,NEC,-6.89,0.4378,-16.23508,-14.01522222,-170,278,284,268,303,275,TRUE,FALSE,10,19,291.45,NA
Quinnipiac,MAAC,-6.65,0.444,-18.53712,-15.81,-168,271,265,301,302,304,TRUE,FALSE,10,21,291.75,NA
Milwaukee,Horizon,-2.3,0.4492,-21.26212,-17.90677778,-175,210,260,335,307,324,TRUE,FALSE,10,24,292.05,NA
South Carolina St.,MEAC,-15.91,0.4314,-16.51408,-14.03477778,-162,343,298,274,287,278,TRUE,FALSE,9,20,295.15,NA
Northwestern St.,Southland,-17.18,0.4294,-13.64356,-11.31588889,-189,346,305,211,313,223,TRUE,FALSE,9,16,297.1,NA
La.-Monroe,Sunbelt,-3.4,0.4371,-21.87916,-19.24511111,-167,221,287,341,299,338,TRUE,FALSE,7,24,298.3,NA
UC Santa Barbara,Big West,3.61,0.4175,-19.72788,-17.11522222,-189,116,321,317,314,316,TRUE,FALSE,5,22,298.45,NA
Jackson St.,SWAC,-14.31,0.4191,-15.09,-13.41422222,-164,338,319,245,294,264,TRUE,FALSE,12,17,298.75,NA
Marist,MAAC,-9.86,0.4429,-20.94856,-17.99755556,-166,315,267,329,296,325,TRUE,FALSE,8,24,298.85,NA
CSUN,Big West,-12.96,0.4201,-15.2458,-12.18922222,-168,333,318,248,300,243,TRUE,FALSE,10,18,298.9,NA
Fla. Atlantic,C-USA,-4.59,0.4271,-17.12008,-14.21388889,-183,234,311,281,311,282,TRUE,FALSE,8,20,299.4,NA
Drake,MVC,1.52,0.419,-19.4404,-15.62366667,-192,151,320,312,316,299,TRUE,FALSE,6,23,300.4,NA
Drexel,CAA,-6.37,0.4267,-20.8486,-17.88733333,-162,268,312,326,291,323,TRUE,FALSE,8,23,302.65,NA
Niagara,MAAC,-1.36,0.4389,-21.00064,-18.22055556,-206,190,281,332,323,329,TRUE,FALSE,10,23,302.7,NA
Binghamton,Am. East,-7.51,0.4278,-18.14636,-15.76955556,-168,282,309,298,301,302,TRUE,FALSE,9,20,302.9,NA
UMass Lowell,Am. East,-6.87,0.4302,-18.2564,-16.04122222,-174,277,302,299,305,306,TRUE,FALSE,10,20,302.95,NA
Morgan St.,MEAC,-10.64,0.4141,-14.3428,-13.06111111,-182,322,325,233,309,259,TRUE,FALSE,13,16,303.7,NA
Dartmouth,Ivy,-8.54,0.4294,-17.62032,-15.147,-177,295,304,291,308,293,TRUE,FALSE,7,20,304.5,NA
UTRGV,WAC,-5.49,0.4221,-19.51856,-16.95266667,-174,245,315,315,306,314,TRUE,FALSE,7,22,305.85,NA
Bryant,NEC,-15.09,0.4386,-17.41392,-15.15155556,-192,342,282,285,315,294,TRUE,FALSE,11,20,306.35,NA
Colgate,Patriot,-2.06,0.4305,-19.54568,-17.24766667,-209,206,301,316,326,317,TRUE,FALSE,9,22,307.85,NA
Sacred Heart,NEC,-8.08,0.43,-17.26256,-15.27122222,-197,289,303,283,320,295,TRUE,FALSE,13,19,308.45,NA
Western Ill.,Summit,-8.78,0.4169,-17.01292,-14.38977778,-184,300,322,277,312,285,TRUE,FALSE,6,20,309.1,NA
Central Ark.,Southland,-1.88,0.4312,-20.95724,-18.30588889,-219,197,299,330,331,330,TRUE,FALSE,8,24,311.4,NA
Detroit Mercy,Horizon,-12.27,0.4331,-20.39024,-17.32466667,-182,331,294,321,310,318,TRUE,FALSE,7,23,312,NA
Lafayette,Patriot,-6.33,0.4213,-18.8716,-17.04655556,-192,266,316,306,317,315,TRUE,FALSE,8,21,312.35,NA
Cal Poly,Big West,-9.92,0.4271,-17.59292,-14.70266667,-196,316,310,290,319,288,TRUE,FALSE,9,20,312.45,NA
McNeese,Southland,-7.88,0.4282,-18.6762,-16.70866667,-199,285,308,303,321,311,TRUE,FALSE,5,21,313.35,NA
Hartford,Am. East,-1.99,0.4099,-20.60916,-17.88033333,-218,201,327,322,328,322,TRUE,FALSE,9,23,315.85,NA
North Texas,C-USA,-1.61,0.3872,-19.4844,-16.84955556,-225,194,339,314,334,313,TRUE,FALSE,6,22,319.15,NA
Southern Miss.,C-USA,-3.91,0.393,-19.09748,-16.01444444,-220,224,337,308,333,305,TRUE,FALSE,7,22,319.8,NA
American,Patriot,-11.04,0.429,-19.36712,-17.41244444,-208,324,307,311,324,319,TRUE,FALSE,8,22,319.95,NA
UC Riverside,Big West,-6.58,0.3995,-18.59716,-15.62522222,-232,270,332,302,336,300,TRUE,FALSE,6,21,323.4,NA
Stetson,A-Sun,-9.79,0.4068,-19.48088,-17.52355556,-208,312,329,313,325,320,TRUE,FALSE,8,21,325,NA
VMI,Southern,-12.66,0.4084,-20.98352,-18.14777778,-193,332,328,331,318,327,TRUE,FALSE,4,24,326.1,NA
Maine,Am. East,-11.53,0.4159,-21.50952,-18.56433333,-213,328,323,336,327,335,TRUE,FALSE,6,25,329.8,NA
Chicago St.,WAC,-18.12,0.4122,-22.3502,-18.45277778,-204,348,326,344,322,333,TRUE,FALSE,3,26,330.9,NA
SIUE,OVC,-9.82,0.3988,-20.91292,-18.50888889,-218,314,333,328,329,334,TRUE,FALSE,5,23,330.9,NA
Idaho St.,Big Sky,-2.46,0.3854,-22.13684,-18.35211111,-268,213,341,342,345,331,TRUE,FALSE,4,26,331.1,NA
FIU,C-USA,-4.55,0.3887,-21.86516,-19.26855556,-256,233,338,340,342,340,TRUE,FALSE,5,24,331.7,NA
Coppin St.,MEAC,-17.65,0.395,-20.68084,-18.35788889,-219,347,335,323,332,332,TRUE,FALSE,7,23,335.35,NA
Northern Ariz.,Big Sky,-11.72,0.3995,-20.81476,-17.859,-259,329,331,324,344,321,TRUE,FALSE,8,23,336.95,NA
Mississippi Val.,SWAC,-16.93,0.3995,-21.1628,-18.65588889,-236,345,330,334,338,336,TRUE,FALSE,7,25,338.1,NA
Bethune-Cookman,MEAC,-8.12,0.3763,-20.83964,-19.53088889,-258,290,344,325,343,343,TRUE,FALSE,8,22,338.15,NA
Howard,MEAC,-14.26,0.3949,-21.51708,-19.34266667,-226,337,336,337,335,341,TRUE,FALSE,8,24,338.25,NA
Delaware St.,MEAC,-20.78,0.3974,-20.17852,-18.15222222,-253,351,334,319,341,328,TRUE,FALSE,8,22,338.75,NA
Presbyterian,Big South,-12.19,0.3712,-22.78016,-20.48022222,-218,330,346,346,330,346,TRUE,FALSE,3,25,339.2,NA
Alabama St.,SWAC,-14.21,0.3866,-21.13316,-19.25622222,-234,336,340,333,337,339,TRUE,FALSE,7,23,339.45,NA
Southern Utah,Big Sky,-6.75,0.3794,-24.90824,-22.01088889,-305,272,342,349,347,348,TRUE,FALSE,4,27,340.55,NA
Central Conn. St.,NEC,-8.22,0.3676,-21.54736,-19.77677778,-292,291,347,338,346,344,TRUE,FALSE,6,23,341.75,NA
Ark.-Pine Bluff,SWAC,-10.12,0.375,-22.38948,-20.45466667,-237,318,345,345,340,345,TRUE,FALSE,6,24,342.05,NA
Longwood,Big South,-16.31,0.3767,-21.7334,-19.51144444,-236,344,343,339,339,342,TRUE,FALSE,4,24,342.8,NA
St. Francis Brooklyn,NEC,-8.56,0.351,-24.4774,-22.41055556,-329,296,348,348,349,349,TRUE,FALSE,3,27,345.35,NA
Florida A&M,MEAC,-15,0.344,-22.2918,-21.34,-308,341,349,343,348,347,TRUE,FALSE,5,23,348.95,NA
N.C. A&T,MEAC,-10.2,0.3259,-27.33836,-25.59877778,-364,320,350,351,351,351,TRUE,FALSE,1,29,349.65,NA
Alabama A&M,SWAC,-20.3,0.3212,-25.36836,-23.40255556,-338,349,351,350,350,350,TRUE,FALSE,2,27,352.15,NA
