"team","qual_bonus","sor","wab","wins","losses"
"Southern California",129.221,0.439200000000001,4.49144444444445,23.358,4.642
"Southern Ill.",-171.328,-11.58656,-8.64011111111111,13.595,14.405
"Southern Miss.",-312.912,-17.1944,-14.345,6.401,19.599
"Southern U.",-243.902,-11.75508,-9.842,15.315,13.685
"Southern Utah",-121.387,-6.34116,-4.35088888888889,19.801,8.199
"St. Bonaventure",15.281,-4.92604,-1.32944444444444,19.656,8.344
"St. Francis Brooklyn",-555.857,-19.86184,-18.2608888888889,6.726,21.274
"St. John's (NY)",-37.87,-6.96996,-2.88322222222222,13.266,12.734
"St. Thomas (MN)",-301.165,-14.18708,-12.5152222222222,10.503,15.497
"Stanford",-34.625,-6.94324,-2.44666666666667,15.148,13.852
"Stetson",-288.925,-13.13208,-11.2323333333333,10.445,14.555
"Stony Brook",-208.635,-10.29356,-8.41866666666667,16.601,12.399
"Syracuse",-28.881,-8.1836,-3.46266666666667,15.869,14.131
"Tarleton St.",-180.855,-11.02004,-8.30533333333333,13.131,14.869
"TCU",-32.716,-7.1664,-2.64033333333333,14.638,13.362
"Temple",-93.379,-10.693,-6.96955555555556,13.875,15.125
"Tennessee",157.006,0.523079999999999,5.52277777777778,23.287,6.713
"Tennessee St.",-395.731,-17.3876,-15.7518888888889,9.251,18.749
"Tennessee Tech",-321.008,-16.31912,-13.7458888888889,9.708,19.292
"Texas",48.448,-2.94172,1.68177777777778,20.471,10.529
"Texas A&M",-60.172,-8.1632,-3.981,16.104,13.896
"Texas Southern",-148.907,-8.18224,-6.15322222222222,15.648,10.352
"Texas St.",-163.013,-7.39812,-5.42577777777778,16.024,9.976
"Texas Tech",83.52,-2.64568,1.97066666666667,20.93,10.07
"The Citadel",-233.964,-12.00976,-9.86111111111111,8.81,14.19
"Toledo",-54.892,-5.50724,-2.79933333333333,22.077,7.923
"Towson",-116.189,-7.52508,-5.289,21.384,9.616
"Troy",-277.234,-12.70292,-10.5765555555556,12.547,14.453
"Tulane",-195.961,-14.42544,-10.8396666666667,8.13,18.87
"Tulsa",-153.612,-13.41272,-9.60444444444444,11.694,17.306
"UAB",-16.49,-5.25412,-2.25355555555556,21.173,7.827
"UC Davis",-190.08,-10.01288,-7.84866666666667,14.265,11.735
"UC Irvine",-83.639,-5.78112,-3.29033333333333,16.928,8.072
"UC Riverside",-68.785,-6.37692,-3.81477777777778,17.368,8.632
"UC San Diego",-275.862,-14.06608,-11.5981111111111,11.945,16.055
"UC Santa Barbara",-188.402,-9.78552,-7.71811111111111,16.468,11.532
"UCF",27.656,-3.36552,0.0537777777777792,20.225,7.775
"UCLA",142.857,1.66344,5.55477777777778,21.468,3.532
"UConn",110.502,-1.25516,3.571,21.784,7.216
"UIC",-341.366,-15.209,-13.2808888888889,11.06,16.94
"UIW",-322.107,-13.0422,-11.276,7.026,15.974
"ULM",-227.997,-12.19804,-9.76277777777778,11.961,15.039
"UMass Lowell",-223.264,-10.2602,-8.53388888888889,15.431,11.569
"UMBC",-244.396,-11.03632,-9.47266666666667,13.825,12.175
"UMES",-285.443,-11.71072,-10.3573333333333,8.877,13.123
"UNC Asheville",-187.931,-9.0798,-7.243,15.283,10.717
"UNC Greensboro",-178.515,-10.449,-7.99877777777778,15.144,12.856
"UNCW",-315.871,-15.24264,-13.4257777777778,10.494,16.506
"UNI",-155.756,-11.76744,-8.40977777777778,11.98,15.02
"UNLV",-105.76,-11.0692,-7.10822222222222,13.651,15.349
"USC Upstate",-422.362,-17.7632,-15.7083333333333,6.061,19.939
"UT Arlington",-260.627,-14.64464,-11.7064444444444,9.626,17.374
"UT Martin",-331.688,-15.84744,-13.6417777777778,8.671,18.329
"Utah",-55.464,-9.96712,-5.46211111111111,14.486,15.514
"Utah St.",-40.585,-7.39976,-3.48766666666666,17.577,11.423
"Utah Valley",-89.313,-7.38672,-4.72011111111111,18.435,9.565
"UTEP",-124.101,-10.11932,-7.43444444444444,12.044,12.956
"UTRGV",-320.555,-14.65948,-12.2725555555556,9.135,17.865
"UTSA",-190.226,-13.08772,-10.468,7.525,15.475
"Valparaiso",-214.365,-13.57604,-10.5823333333333,11.571,16.429
"Vanderbilt",-41.177,-7.97316,-3.37222222222222,14.661,14.339
"VCU",-20.552,-5.69348,-1.98711111111111,18.357,9.643
"Vermont",-91.381,-5.87732,-3.93844444444445,21.583,7.417
"Villanova",124.384,0.111400000000001,5.231,22.37,7.63
"Virginia",-58.894,-9.7308,-5.19333333333333,14.458,15.542
"Virginia Tech",33.376,-4.34136,-0.0738888888888888,19.953,9.047
"VMI",-181.375,-9.31392,-7.05133333333333,14.911,11.089
"Wagner",-23.922,-2.28496,-0.991444444444445,20.366,3.634
"Wake Forest",13.623,-5.4156,-1.15788888888889,19.334,10.666
"Washington",-176.102,-13.94652,-10.0947777777778,8.967,19.033
"Washington St.",-33.328,-7.30256,-3.18877777777778,17.881,12.119
"Weber St.",-136.187,-7.93316,-5.88888888888889,19.459,9.541
"West Virginia",102.476,-3.04256,1.85244444444445,20.004,9.996
"Western Caro.",-334.554,-17.46084,-14.8397777777778,8.503,19.497
"Western Ill.",-197.442,-9.25808,-7.35455555555555,16.98,11.02
"Western Ky.",-85.753,-8.17832,-5.28111111111111,16.916,11.084
"Western Mich.",-305.172,-17.32856,-14.3881111111111,6.61,20.39
"Wichita St.",-1.698,-5.1874,-1.47944444444445,19.051,9.949
"William & Mary",-532.67,-23.78204,-21.309,4.286,25.714
"Winthrop",-178.866,-8.96292,-6.95833333333333,15.328,10.672
"Wisconsin",47.073,-3.69224,1.37944444444444,18.835,11.165
"Wofford",-144.496,-9.20192,-6.54944444444444,16.655,11.345
"Wright St.",-265.038,-11.56556,-9.76677777777778,16.646,13.354
"Wyoming",0.417000000000002,-4.84228,-1.39933333333334,21.423,8.577
"Xavier",110.172,-0.89116,3.779,22.221,6.779
"Yale",-219.813,-11.374,-9.22244444444444,13.284,13.716
"Youngstown St.",-148.448,-7.37072,-5.84522222222222,17.294,8.706
