"Team","Conference","YUSAG_Coefficient","rank","info","Conference_Rank","record","conf_record"
"Long Beach St.","Big West",-3.4,216,"(Conference Rank:  12)",6,"13 - 17","9 - 7"
"UC Riverside","Big West",-8.78,291,"(Conference Rank:  12)",7,"6 - 22","3 - 13"
"Cal Poly","Big West",-9.77,305,"(Conference Rank:  12)",8,"7 - 21","4 - 12"
"CSUN","Big West",-12.01,328,"(Conference Rank:  12)",9,"4 - 24","3 - 13"
"Middle Tenn.","C-USA",10.41,50,"(Conference Rank:  14)",1,"22 - 7","15 - 3"
"Western Ky.","C-USA",10.25,52,"(Conference Rank:  14)",2,"22 - 8","15 - 3"
"Old Dominion","C-USA",8.57,67,"(Conference Rank:  14)",3,"23 - 7","14 - 4"
"UAB","C-USA",5.5,95,"(Conference Rank:  14)",4,"18 - 11","11 - 7"
"Marshall","C-USA",3.5,123,"(Conference Rank:  14)",5,"19 - 11","11 - 7"
"Louisiana Tech","C-USA",2.43,139,"(Conference Rank:  14)",6,"16 - 13","9 - 9"
"UTSA","C-USA",-0.79,176,"(Conference Rank:  14)",7,"12 - 16","8 - 10"
"North Texas","C-USA",-0.85,177,"(Conference Rank:  14)",8,"14 - 15","9 - 9"
"Southern Miss.","C-USA",-4.16,223,"(Conference Rank:  14)",9,"10 - 17","7 - 11"
"FIU","C-USA",-4.7,236,"(Conference Rank:  14)",10,"9 - 19","6 - 12"
"Fla. Atlantic","C-USA",-5.11,245,"(Conference Rank:  14)",11,"11 - 16","8 - 10"
"UTEP","C-USA",-5.71,249,"(Conference Rank:  14)",12,"9 - 20","5 - 13"
"Rice","C-USA",-8.75,290,"(Conference Rank:  14)",13,"5 - 24","4 - 14"
"Charlotte","C-USA",-9.04,297,"(Conference Rank:  14)",14,"6 - 22","3 - 15"
"Northeastern","CAA",4.27,110,"(Conference Rank:  13)",1,"19 - 10","13 - 5"
"Towson","CAA",3.76,118,"(Conference Rank:  13)",2,"19 - 10","11 - 7"
"Col. of Charleston","CAA",1.32,157,"(Conference Rank:  13)",3,"19 - 9","12 - 6"
"Hofstra","CAA",0.99,160,"(Conference Rank:  13)",4,"18 - 11","12 - 6"
"William & Mary","CAA",-0.01,166,"(Conference Rank:  13)",5,"17 - 10","12 - 6"
"Elon","CAA",-1.29,182,"(Conference Rank:  13)",6,"15 - 14","9 - 9"
"James Madison","CAA",-5.71,248,"(Conference Rank:  13)",7,"8 - 22","5 - 13"
"Drexel","CAA",-7.38,263,"(Conference Rank:  13)",8,"11 - 19","6 - 12"
"Delaware","CAA",-7.47,268,"(Conference Rank:  13)",9,"11 - 18","6 - 12"
"UNCW","CAA",-8.49,284,"(Conference Rank:  13)",10,"7 - 21","6 - 12"
"Northern Ky.","Horizon",8.18,71,"(Conference Rank:  27)",1,"20 - 8","15 - 3"
"Wright St.","Horizon",3.12,128,"(Conference Rank:  27)",2,"21 - 8","15 - 3"
"Oakland","Horizon",2.3,142,"(Conference Rank:  27)",3,"21 - 10","13 - 5"
"Ill.-Chicago","Horizon",-4.21,224,"(Conference Rank:  27)",4,"14 - 15","11 - 7"
"Milwaukee","Horizon",-4.6,233,"(Conference Rank:  27)",5,"14 - 15","8 - 10"
