"team","conference","eligible","eliminated","mid_major","ncaa_id","conf_seed"
"Villanova","Big East",TRUE,FALSE,FALSE,527438,NA
"Virginia","ACC",TRUE,FALSE,FALSE,527442,NA
"Virginia Tech","ACC",TRUE,FALSE,FALSE,527441,NA
"VMI","Southern",TRUE,FALSE,TRUE,527440,NA
"Wagner","NEC",TRUE,FALSE,TRUE,527443,NA
"Wake Forest","ACC",TRUE,FALSE,FALSE,527444,NA
"Washington","Pac 12",TRUE,FALSE,FALSE,527446,NA
"Washington St.","Pac 12",TRUE,FALSE,FALSE,527445,NA
"Weber St.","Big Sky",TRUE,FALSE,TRUE,527447,NA
"West Virginia","Big 12",TRUE,FALSE,FALSE,527448,NA
"Western Caro.","Southern",TRUE,FALSE,TRUE,527449,NA
"Western Ill.","Summit",TRUE,FALSE,TRUE,527450,NA
"Western Ky.","C-USA",TRUE,FALSE,TRUE,527451,NA
"Western Mich.","MAC",TRUE,FALSE,TRUE,527452,NA
"Wichita St.","AAC",TRUE,FALSE,FALSE,527453,NA
"William & Mary","CAA",TRUE,FALSE,TRUE,527454,NA
"Winthrop","Big South",TRUE,FALSE,TRUE,527455,NA
"Wisconsin","Big 10",TRUE,FALSE,FALSE,527457,NA
"Wofford","Southern",TRUE,FALSE,TRUE,527477,NA
"Wright St.","Horizon",TRUE,FALSE,TRUE,527459,NA
"Wyoming","MWC",TRUE,FALSE,TRUE,527460,NA
"Xavier","Big East",TRUE,FALSE,FALSE,527461,NA
"Yale","Ivy",TRUE,FALSE,TRUE,527462,NA
"Youngstown St.","Horizon",TRUE,FALSE,TRUE,527463,NA
