"team","conference","yusag_coeff","off_coeff","def_coeff","rank","off_rank","def_rank"
"Iowa St.","Big 12",4.09450223044245,2.21215118230656,1.88235104817973,117,123,124
"UC Irvine","Big West",4.0029341210882,-0.658973121086005,4.66190724218469,118,175,76
"Ohio","MAC",3.9182366810458,4.65874306397276,-0.740506382849798,119,79,192
"Washington St.","Pac 12",3.73677629617422,0.760004901648408,2.97677139456963,120,143,111
"Buffalo","MAC",3.64414058747355,7.57727691468289,-3.93313632726547,121,34,274
"California","Pac 12",3.48993741484462,-0.569565490192577,4.05950290514766,122,173,91
"Kansas St.","Big 12",3.44020787406166,-1.0905288602711,4.53073673440989,123,188,78
"Bradley","MVC",3.41121740221845,-0.947410170591247,4.35862757282018,124,182,84
"Pepperdine","WCC",3.40821847912556,4.85845307190289,-1.45023459273351,125,75,214
"UNI","MVC",3.31551888636636,2.91495166882953,0.400567217547321,126,110,159
"Akron","MAC",3.29806715739477,2.29479170187694,1.00327545549497,127,119,142
"Wofford","Southern",3.24773566487924,1.0807084431743,2.16702722121542,128,134,120
"Missouri St.","MVC",3.19993520561407,2.66811903579589,0.531816169728665,129,112,153
"Boston College","ACC",3.13458192225809,3.38856392727448,-0.253982005005911,130,102,173
"Indiana St.","MVC",2.99595064723114,-0.707812561664971,3.70376320847324,131,179,96
"Washington","Pac 12",2.77690491166665,3.03576971830689,-0.258864806529765,132,108,174
"Bowling Green","MAC",2.77347056984191,3.63444743887833,-0.860976869025914,133,100,194
"Charlotte","C-USA",2.39097869022054,-4.1064026519183,6.49738134171601,134,271,43
"Eastern Wash.","Big Sky",2.30697583624267,4.5558711724755,-2.2488953361557,135,81,238
"George Mason","A-10",2.2500139998307,-1.04384108219001,3.2938550825312,136,184,108
"Nebraska","Big 10",2.12373518173673,3.63895555321561,-1.51522037096839,137,99,217
"UC Santa Barbara","Big West",2.11479586709463,-0.678636181971813,2.79343204957694,138,177,114
"ETSU","Southern",1.97767480693785,-3.41329716866436,5.39097197511269,139,247,60
"Nevada","MWC",1.92872292548136,2.23018349851847,-0.301460572959951,140,122,175
"Vanderbilt","SEC",1.88847133339345,3.21098542987863,-1.32251409644139,141,105,210
"Northeastern","CAA",1.43264512928666,-2.64828184082144,4.08092697028525,142,235,89
"SFA","Southland",1.1542661930575,2.35342497657428,-1.19915878300628,143,118,207
"Oral Roberts","Summit",1.04216583127795,5.78800333726402,-4.7458375059756,144,57,291
"Texas A&M","SEC",1.01279073091983,-5.68890737100428,6.7016981024346,145,313,42
"North Dakota St.","Summit",0.938325900965939,-2.44575169717834,3.38407759828812,146,230,104
"La Salle","A-10",0.709588308777739,-0.442633615358217,1.15222191624643,147,167,139
"Santa Clara","WCC",0.663611504598082,-1.18625829159178,1.849869796367,148,190,126
"Siena","MAAC",0.256938405129716,-1.48632412397032,1.74326252961051,149,204,129
"Abilene Christian","Southland",0.199115328268887,-3.03913268351768,3.23824801229705,150,240,110
"Gardner-Webb","Big South",0.178500401475949,0.808874378728433,-0.630373977042004,151,142,187
"East Carolina","AAC",0.177520260248862,-0.510909876908046,0.688430137100728,152,171,149
"Chattanooga","Southern",0.144944956808727,0.110085943840511,0.0348590130120248,153,157,165
"Texas St.","Sunbelt",0.120706169751555,-4.39785751647559,4.51856368623765,154,279,79
"Navy","Patriot",0.120529445238789,-1.58382481020854,1.70435425549118,155,210,132
"Bryant","NEC",0.027117385848193,4.19920321006804,-4.17208582417601,156,85,280
"Old Dominion","C-USA",-0.0397149649669029,-3.50390276408727,3.46418779963085,157,254,100
"Ball St.","MAC",-0.203977405886429,-0.448589361933394,0.244611956557452,158,169,163
"Grand Canyon","WAC",-0.421536058207368,-1.04962374933404,0.628087691103828,159,185,151
"Miami (OH)","MAC",-0.435479445291961,0.115309308673403,-0.550788753921545,160,156,184
"Little Rock","Sunbelt",-0.469737742521355,0.71972842389928,-1.18946616641015,161,146,206
"Southern Ill.","MVC",-0.56898911525168,-1.23821082855188,0.669221713477349,162,192,150
"Hofstra","CAA",-0.669087380171081,-0.0742471962589235,-0.594840184335017,163,161,185
"CSU Bakersfield","WAC",-0.696945150448377,-5.12209157801899,4.42514642758107,164,301,83
"Murray St.","OVC",-0.719323849449077,-1.2428551565589,0.523531307620317,165,193,155
"Drexel","CAA",-0.722375664752489,-2.43461542997853,1.71223976526985,166,229,130
"Monmouth","MAAC",-0.885456733988187,4.82691363392321,-5.71237036793423,167,76,307
"James Madison","CAA",-0.900658031442076,3.2952467002519,-4.19590473155017,168,104,281
"Mercer","Southern",-0.936975414052077,0.124848933713169,-1.06182434782141,169,155,201
"Pacific","WCC",-0.973337966797976,-3.70393469066186,2.73059672387437,170,264,116
