"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins","off_coeff","def_coeff","yusag_coeff","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score"
"CSUN",0.150467,6.817558,0,6.667091,0.550119801165826,-0.00997758604128962,-5.15770799033447,-5.16768557637581,0,0,1,1,88,18
"Dartmouth",1.20979,5.22612,0,4.01633,0.604079184163167,-4.43125799561886,0.296944941733575,-4.13431305388529,0,0,0,0,0,0
"Davidson",3.19341,12.736103,0,9.542693,0.7666,8.24921233723039,-3.10540028434845,5.14381205288196,0,0,0,0,0,0
"Dayton",4.33701,8.9523162,0.557651,5.1729572,0.784713885554222,1.59736882395834,8.32943433738502,9.92680316134336,0,1,1,2,90.55,37.76
"Delaware",5.135643,2.072368,0,-3.063275,0.339377099344037,-3.8708799146471,-3.82513584408188,-7.69601575872899,0,0,0,0,0,0
"Delaware St.",1.28648,1.0365965,0,-0.2498835,0.780487804878049,-13.7695915476145,-5.19659252039556,-18.96618406801,0,0,0,1,0,0
"Denver",5.25736,3.845731,0,-1.411629,0.681570373499947,-10.0527849509823,7.34068900731549,-2.71209594366673,0,0,0,0,0,0
"DePaul",6.54465,4.597356,0,-1.947294,0.4878,-1.16489843681264,1.23419493186512,0.0692964950525814,0,0,5,5,84.66,37.16
"Detroit Mercy",8.58011,5.195498,0,-3.384612,0.389,9.25384218765039,-10.5948897515825,-1.34104756393211,0,0,0,1,0,0
"Drake",1.61287,5.414615,0,3.801745,0.720344068813763,-3.4489645631465,-1.86240114342854,-5.31136570657501,0,0,0,0,0,0
"Drexel",4.640817,2.149363,0,-2.491454,0.244151169766047,-8.44517063628777,3.46175881639924,-4.98341181988851,0,0,0,0,0,0
"Duke",9.7304,13.68224,0,3.95184,0.593457943925234,12.8057642413006,4.90761904294063,17.7133832842412,4,1,1,6,97.31,70.92
"Duquesne",9.14457,1.26686,3.802076,-4.075634,0.34766093562575,7.0374088591476,-6.25379460450361,0.783614254643975,0,0,0,0,0,0
"East Carolina",3.038609,7.31444,0,4.275831,0.513902780556111,-0.815324679590651,-0.264993409415912,-1.08031808900656,0,0,4,5,84.3,40.41
"Eastern Ill.",5.0482,2.221639,0,-2.826561,0.693138627725545,-3.62798977361061,-3.09647001440783,-6.72445978801841,0,0,0,0,0,0
"Eastern Ky.",6.60956,4.17861,0,-2.43095,0.380047980807677,4.9437007218403,-7.39650587763013,-2.45280515578985,0,0,2,2,84.03,25.4
"Eastern Mich.",4.80304,7.254577,0,2.451537,0.75624875024995,3.30618102889741,-3.05780821058357,0.248372818313835,0,0,0,1,0,0
"Eastern Wash.",7.07364,5.777122,0,-1.296518,0.607876225501435,4.74642510927001,-7.53462485128138,-2.78819974201142,0,0,0,0,0,0
"Elon",2.80406,8.1374,0,5.33334,0.856942777110844,3.64436028526193,-3.51966105927421,0.12469922598768,0,0,0,0,0,0
"ETSU",4.456794,5.461269,0,1.004475,0.486097219443889,3.08102412986287,-2.94289463014763,0.138129499715292,0,0,0,1,0,0
"Evansville",11.677276,1.75504,2.79039,-7.131846,0.3648,2.92847683691773,5.3018334749575,8.23031031187526,0,0,0,0,0,0
"Fairfield",2.32774,6.5182442,0,4.1905042,0.7104,3.15591436207548,-6.29336223263236,-3.13744787055684,0,0,0,0,0,0
"Fairleigh Dickinson",2.114846,6.12553,0,4.010684,0.847430513897221,2.50898467282477,-11.6347872584957,-9.12580258567097,0,0,0,0,0,0
"FGCU",0.265873,7.158214,1.2556,8.147941,0.791558311662332,-1.43491429560195,1.26260123752463,-0.172313058077323,0,0,0,2,0,0
"FIU",4.856339,2.542083,0.879104,-1.435152,0.641328265653131,-4.48045769632091,-0.128061482010525,-4.60851917833145,0,0,1,1,84.35,14.35
"Fla. Atlantic",1.686852,2.4538195,0,0.7669675,0.628738961718341,-7.78170659388276,-1.6699765533162,-9.4516831471989,0,0,0,0,0,0
"Florida",3.83334,10.14797,0,6.31463,0.756551310262052,5.99964064602027,7.63964089960958,13.6392815456298,0,0,3,3,86.94,39.21
"Florida A&M",-0.0856260000000001,-1.93808,0,-1.852454,0.622559537531254,-13.4740097577312,-5.88814174490757,-19.3621515026387,0,0,0,1,0,0
"Florida St.",8.2110922,6.91091,0,-1.3001822,0.484509294423346,9.72333610723826,1.5688646733573,11.2922007805955,2,2,2,6,93.72,68.58
"Fordham",5.958171,4.1214977,2.55773,0.7210567,0.608454878714609,-3.29601624496767,3.68802263539239,0.392006390424702,0,0,1,1,82.18,12.18
"Fort Wayne",13.747064,0,0,-13.747064,0.566240503983695,6.14905144344908,-4.49436517252272,1.65468627092634,0,0,0,0,0,0
"Fresno St.",7.01162,4.303982,1.291413,-1.416225,0.4438,3.21803034550492,1.88511471187369,5.10314505737863,0,1,1,2,87.83,33.01
"Furman",3.25087,6.166396,0,2.915526,0.727708916433427,-4.31164590852266,3.26922985813914,-1.04241605038354,0,0,0,1,0,0
"Ga. Southern",0,8.484198,0,8.484198,0.748649189513708,0.36662218472696,-3.49422032904282,-3.12759814431585,0,0,0,1,70,0
"Gardner-Webb",4.482337,1.45442,0,-3.027917,0.4614,-2.15910091975066,-2.95081652734876,-5.10991744709943,0,0,0,0,0,0
"George Mason",3.53066,5.581515,0,2.050855,0.763,-2.53921651914904,0.230727262688606,-2.30848925646051,0,0,0,1,0,0
"George Washington",9.18833,6.05552,2.49158,-0.64123,0.358928214357129,5.13653322419105,5.55456606316173,10.6910992873528,0,0,4,5,81.23,35.47
"Georgetown",5.5537,9.679318,2.29043,6.416048,0.7216,4.81497948287496,4.77373139048464,9.58871087335961,0,0,1,1,89.53,19.53
"Georgia",4.01191,8.068225,0,4.056315,0.705858828234353,1.73973192897937,6.71870594896972,8.45843787794907,0,1,2,3,91.41,50.87
"Georgia St.",2.816152,4.959279,1.045642,3.188769,0.546272236658005,-6.59627710988138,4.96315361898301,-1.63312349089834,0,0,2,2,85.73,28.65
"Georgia Tech",13.72082,2.01498,0,-11.70584,0.376324735052989,5.69661829504297,5.78445447528059,11.4810727703236,0,0,3,3,86.79,37.7
"Gonzaga",14.80748,3.59882,6.87803,-4.33063,0.439117061697123,8.07594733692092,8.44273297863539,16.5186803155562,0,3,2,5,93.02,60.91
"Grambling",-1.058349,-0.567667,0,0.490682,0.734352680724413,-15.1354205366623,-1.98700678325648,-17.1224273199187,0,0,0,0,0,0
"Grand Canyon",2.839947,5.744495,0,2.904548,0.471,0.489144375483415,1.09749616804494,1.58664054352827,0,0,0,0,0,0
"Green Bay",5.00793,5.260062,1.7045,1.956632,0.6742,11.2370670571848,-8.70502219324513,2.53204486393964,0,0,1,1,81.87,11.87
"Hampton",6.434232,0.619642,0,-5.81459,0.337932413517297,-0.500763315180813,-6.39389437507561,-6.8946576902564,0,0,0,1,0,0
"Hartford",3.325614,2.283784,0,-1.04183,0.611375440380635,-2.63328836484742,-9.9164016550479,-12.5496900198954,0,0,0,0,0,0
"Harvard",4.47864,4.209435,0,-0.269205,0.625525105021004,-5.49156718735663,5.48735780931431,-0.00420937804234334,0,2,4,7,88.94,57.28
"Hawaii",12.522516,0,0,-12.522516,0.202040408081616,4.35352361613762,4.70252317171202,9.05604678784971,0,0,1,1,83.33,13.33
"High Point",10.30215,1.00776,0,-9.29439,0.369652139144342,1.49266840900475,-1.10949357947633,0.383174829528439,0,0,0,0,0,0
"Hofstra",9.09874,5.30582,1.55524,-2.23768,0.418116376724655,6.98209347412732,-1.09056533783623,5.89152813629109,0,0,0,0,0,0
"Holy Cross",0.228033,4.488102,0,4.260069,0.814325730292117,-10.0121582264322,0.73305360719529,-9.27910461923691,0,0,0,0,0,0
"Houston",13.77875,6.10708,0,-7.67167,0.623558904767623,7.33534848210381,2.17505090203665,9.51039938414044,0,0,1,2,77.01,14.02
"Houston Baptist",3.473049,1.30783,0,-2.165219,0.553886791689016,-0.926820277977274,-7.37608437941296,-8.30290465739023,0,0,0,0,0,0
"Howard",3.85061,-1.4258794,0,-5.2764894,0.931780207492868,-6.43575244291109,-7.23595439270976,-13.6717068356209,0,0,0,0,0,0
"Idaho",0.17759,6.42343,0,6.24584,0.808501389446019,-7.61494262985514,3.54419662717285,-4.07074600268233,0,0,0,0,0,0
"Idaho St.",0.648907,5.653894,0,5.004987,0.70328131252501,-3.19282376761603,-4.8317124147695,-8.02453618238556,0,0,0,0,0,0
"Ill.-Chicago",-0.196933,1.335753,0,1.532686,0.645415008790599,-7.32018027487252,-6.0489522186892,-13.3691324935617,0,0,2,3,79.59,26.12
"Illinois",2.830417,9.30943,0,6.479013,0.753049390121976,2.98938694301327,0.451611573525699,3.44099851653898,0,0,1,1,90.75,20.75
"Illinois St.",3.25281,6.489897,0,3.237087,0.54561824729892,-1.86445257929277,5.73945969780801,3.87500711851524,0,0,0,0,0,0
