team,off_coeff,def_coeff,yusag_coeff,off_sd,def_sd,yusag_sd,departing_ppg,returning_ppg,transfer_ppg,net_ppg,mins,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score
Idaho,-4.315538312,0.741013349,-3.574524964,0.439497499,0.411270016,0.601914511,11.06675,1.996267,0,-9.070483,0.24595081,0,0,0,0,0,0
Idaho St.,-1.39766727,-1.159950559,-2.557617829,0.275534091,0.258410632,0.377750036,1.827104,7.504307,0,5.677203,0.614285985,0,0,0,0,0,0
UIC,0.213329487,-1.919807216,-1.706477729,0.266006675,0.212982979,0.340765755,2.23108,5.474353,0.0906574,3.3339304,0.68478819,0,0,0,0,0,0
Illinois,6.316787098,2.488265836,8.805052934,0.391929866,0.390317369,0.553133499,8.429345,7.858704,1.87018,1.299539,0.412682537,0,2,5,7,90,59.65
Illinois St.,2.528678142,-0.180694008,2.347984134,0.383670731,0.351428658,0.520293505,-0.711874,9.591112,0,10.302986,0.828175211,0,0,0,1,0,0
Incarnate Word,-5.874324961,-7.000089125,-12.87441409,0.266424958,0.287214955,0.391758457,1.994913,1.145986,0,-0.848927,0.63234261,0,0,0,0,0,0
Indiana,7.986096599,6.270856348,14.25695295,0.847885485,0.470436843,0.96964974,3.46473,7.53113,0,4.0664,0.593666539,1,4,0,5,95.65,65.92
Indiana St.,-0.320547288,-1.032695645,-1.353242933,0.244519368,0.228589756,0.334728245,5.54877,4.722969,-0.205902,-1.031703,0.633634354,0,0,0,0,0,0
Iona,2.32007482,-2.765716401,-0.445641582,0.344576423,0.342037881,0.485512949,7.3335,6.77105,1.65662,1.09417,0.43,0,0,0,0,0,0
Iowa,12.1233586,0.83699491,12.96035351,0.728259889,0.590409024,0.937520817,0,16.024585,0,16.024585,0.904858432,0,1,1,2,93.15,42.65
Iowa St.,7.43834372,3.902347653,11.34069137,0.481208942,0.469680962,0.672430109,3.31295,12.961,2.9119,12.55995,0.704166521,0,2,2,4,92.56,58.29
IUPUI,-6.616867946,-1.839635764,-8.45650371,0.268581556,0.253202593,0.369117333,4.184427,1.130284,0,-3.054143,0.539817786,0,0,0,0,0,0
Jackson St.,-10.24142456,-1.528102525,-11.76952708,0.408901562,0.342877702,0.533634337,0.821719,0.666679,0,-0.15504,0.481972216,0,0,0,0,0,0
Jacksonville,-4.742700307,-3.530011198,-8.272711505,0.265696055,0.233623777,0.353800032,0.824542,4.680709,1.378,5.234167,0.616419297,0,0,0,0,0,0
Jacksonville St.,-3.778765264,3.092542294,-0.68622297,0.291158872,0.311047257,0.4260562,3.266046,5.949662,0,2.683616,0.593648289,0,0,0,0,0,0
James Madison,-1.07258124,-1.253956114,-2.326537353,0.281403787,0.27241787,0.391662594,0.83406,7.662496,0,6.828436,0.745952429,0,0,0,0,0,0
Kansas,10.86239568,6.879001532,17.74139721,0.828289865,0.486211852,0.96045097,14.45647,7.95826,8.25606,1.75785,0.463414634,2,2,0,4,97.85,68.15
Kansas St.,4.480586628,9.269364426,13.74995105,0.60723443,0.534394887,0.808895264,0,15.45254,-0.0221996,15.4303404,0.889944077,0,0,2,2,85.72,28.9
