"team","departing_ppg","returning_ppg","transfer_ppg","net_ppg","mins"
"New Mexico",10.23858,1.728372,2.131372,-6.378836,0.390916303054344
"New Mexico St.",6.979462,5.42466,2.33596,0.781158,0.4472871910671
"New Orleans",6.248386,-0.000527999999999973,0,-6.248914,0.595062503268999
"Niagara",0,7.8256,0,7.8256,0.637219073462153
"Nicholls St.",4.28594,1.63385,0,-2.65209,0.323559155383875
"NJIT",5.375544,1.59588,0,-3.779664,0.819613191652283
"Norfolk St.",4.3625276,-0.7882595,-1.17927,-6.3300571,0.603565836481042
"North Carolina",12.78924,4.21887,0.110126,-8.460244,0.671014695797725
"North Carolina A&T",1.948574,0.791916,-0.601875,-1.758533,0.364705882352941
"North Carolina Central",7.9788756,1.5402,0,-6.4386756,0.561399466807096
"North Carolina St.",10.56484,4.615448,0.805211,-5.144181,0.42643492018478
"North Dakota",4.974726,4.68858,0,-0.286146,0.674166478936698
"North Dakota St.",4.086999,4.89058,0,0.803580999999999,0.663867226554689
"North Florida",5.9718857,1.595399,0,-4.3764867,0.897952440699307
"North Texas",1.3413,2.222907,0,0.881607,0.719665387700588
"Northeastern",6.90996,3.693833,0.904919,-2.311208,0.882823435312937
"Northern Arizona",3.822604,0.578214,-0.175124,-3.419514,0.617872950353258
"Northern Colorado",0.848828,5.70644,0.984941,5.842553,0.5174
"Northern Illinois",3.6505372,1.508087,0,-2.1424502,0.831734199146805
"Northern Iowa",4.04662,2.145222,1.27406,-0.627338,0.537451737451738
"Northern Kentucky",2.66366,10.41703,0,7.75337,0.436625349860056
"Northwestern",3.15158,13.99038,0,10.8388,0.564640465959543
"Northwestern St.",2.442308,2.330405,0,-0.111903,0.84191846588126
"Notre Dame",6.97402,11.27838,0,4.30436,0.602794472070533
"Oakland",1.86559,7.9763884,2.81449,8.9252884,0.226139473997382
"Ohio",4.18326,5.798358,0,1.615098,0.68995359337765
"Ohio St.",7.70187,5.92297,0,-1.7789,0.4894
"Oklahoma",3.0147,9.095185,0,6.080485,0.590760186283711
"Oklahoma St.",13.3203,7.97683,2.98582,-2.35765,0.337667533506701
"Old Dominion",2.1953527,5.19001,0,2.9946573,0.551868878672796
"Oral Roberts",6.596663,3.91831,0,-2.678353,0.571192118404578
"Oregon",19.11843,2.41201,5.43906,-11.26736,0.504626773596545
"Oregon St.",0,6.4754719,0,6.4754719,0.684852118305356
"Pacific",3.29636,3.4302,1.45812,1.59196,0.605529396400601
"Penn",2.4803,6.588685,0,4.108385,0.726683683487139
"Penn St.",1.79684,9.93106,0,8.13422,0.559345603460991
"Pepperdine",7.16245,0.786778,0.866954,-5.508718,0.608798224570437
"Pittsburgh",17.32633,0,0,-17.32633,0.571
"Portland",7.6792,1.2589528,0,-6.4202472,0.760692150610827
"Portland St.",3.76124,5.43489,0,1.67365,0.475283353816742
"Prairie View A&M",1.005895,3.36716,0,2.361265,0.412435025989604
"Presbyterian",0.35152018,0.403046,-0.41821,-0.36668418,0.52323194625863
"Princeton",5.11564,6.59111,0,1.47547,0.668134507606085
"Providence",2.9547,11.018672,0,8.063972,0.537784886045582
"Purdue",4.71105,17.36812,0,12.65707,0.426829268292683
"Quinnipiac",5.1075146,1.4970586,0,-3.610456,0.699350208515178
"Radford",1.71076,1.0970491,0,-0.6137109,0.721488595438175
"Rhode Island",5.23347,9.40334,0,4.16987,0.359543817527011
