Team,Returning,Lost
UC San Diego,6.861919742,3.083559752
UC Santa Barbara,7.967339814,3.209960699
UCF,2.620720029,10.09657216
UCLA,8.181459904,8.653936505
UMass Lowell,5.12694791,0.668493986
UMBC,2.323866963,7.593081594
UMKC,1.094446987,6.224020422
UNC Asheville,6.902700886,2.881549478
UNC Greensboro,6.228626847,3.93180567
UNC Wilmington,4.05268991,8.654574096
UNLV,1.347030044,9.917783439
USC,6.177139997,8.291643441
USC Upstate,3.453177989,6.37726295
UT Arlington,NULL,5.787691027
UT Rio Grande Valley,2.403249979,5.027547926
Utah,7.15197897,4.019621015
Utah St.,7.289530158,7.981738091
Utah Tech,3.300359414,1.765721917
Utah Valley,5.360969901,4.784388304
UTEP,0.615157008,10.72004604
UTSA,3.699523941,1.123077229
Valparaiso,5.47736001,6.388631105
Vanderbilt,7.864608884,4.977611542
VCU,3.173309922,6.013448358
Vermont,2.867829919,11.76155269
Villanova,9.561540127,13.36601496
Virginia,14.27638865,0
Virginia Tech,8.508539915,8.712595701
VMI,2.19868201,14.26331532
Wagner,1.049539,9.589869261
Wake Forest,2.806499958,14.02721822
Washington,1.767717004,8.800466865
Washington St.,5.973009944,10.11082721
Weber St.,3.160241254,7.086735249
West Virginia,0.708014011,13.61978543
Western Carolina,1.657891367,4.261203587
Western Illinois,2.620229959,7.257573128
Western Kentucky,8.878790021,5.592410803
Western Michigan,6.115251034,0.648863945
Wichita St.,1.743630052,9.701624215
William & Mary,1.988072932,-0.323504269
Winthrop,3.897992909,9.352302432
Wisconsin,7.100179911,8.654022217
Wofford,4.268430233,8.454556584
Wright St.,3.653422028,7.851686716
Wyoming,13.09876373,3.303616285
Xavier,12.11955965,5.902052283
Yale,2.691221388,5.084009051
Youngstown St.,4.768616915,4.50960964
