"team","conf","conf_rank","stars_5","stars_4","stars_3","num_star_players","avg_recruit_score","composite_score","year"
"UT-Arlington","SBC",5,0,0,0,3,76.67,14.75,2009
"Houston Baptist","SLC",7,0,0,0,3,76.67,14.75,2009
"Grambling State","SW-AC",6,0,0,0,3,76.67,14.75,2009
"Iona","MAAC",6,0,0,1,1,84.58,14.58,2009
"Hartford","A-East",2,0,0,0,2,77.64,13.95,2009
"Boise State","M-West",4,0,0,0,4,71.65,12.93,2009
"Idaho","Big-Sky",10,0,0,0,5,68.98,12.87,2009
"Evansville","MVC",5,0,0,1,3,72.11,12.87,2009
"North Florida","A-Sun",4,0,0,1,1,82.4,12.4,2009
"Long Island","NEC",5,0,0,1,1,82.4,12.4,2009
"IUPUI","Summit",6,0,0,1,1,82.4,12.4,2009
"George Washington","A-10",5,0,0,0,5,62.22,12.08,2009
"Morgan State","MEAC",6,0,0,1,1,82.08,12.08,2009
"Houston","AAC",6,0,0,0,2,76.67,12,2009
"St. Bonaventure","A-10",6,0,0,0,2,76.67,12,2009
"Virginia Military Institute","B-South",4,0,0,0,2,76.67,12,2009
"Bethune-Cookman","MEAC",7,0,0,0,2,76.67,12,2009
"Coppin State","MEAC",8,0,0,0,2,76.67,12,2009
"Southern Illinois","MVC",6,0,0,0,2,76.67,12,2009
"Eastern Kentucky","OVC",5,0,0,0,2,76.67,12,2009
"Jacksonville State","OVC",6,0,0,0,2,76.67,12,2009
"Southeast Missouri State","OVC",7,0,0,0,2,76.67,12,2009
"Lafayette","Patriot",6,0,0,0,2,76.67,12,2009
"Troy","SBC",6,0,0,0,2,76.67,12,2009
"Nicholls State","SLC",8,0,0,0,2,76.67,12,2009
"Alabama State","SW-AC",7,0,0,0,2,76.67,12,2009
"Princeton","Ivy",4,0,0,0,4,68.91,11.41,2009
"Georgia Southern","SBC",7,0,0,1,1,81.11,11.11,2009
"New Orleans","SLC",9,0,0,1,1,81.11,11.11,2009
"Youngstown State","Horizon",7,0,0,0,1,80.83,10.83,2009
"Fresno State","M-West",5,0,0,1,5,66.04,10.62,2009
"Bucknell","Patriot",7,0,0,0,3,71.11,10.39,2009
"Wagner","NEC",6,0,0,0,4,67.3,9.6,2009
"Cal Poly","Big-west",5,0,0,0,1,79.58,9.58,2009
"Towson","CAA",3,0,0,0,5,65.45,9.22,2009
"Memphis","AAC",7,0,0,1,2,73.43,8.81,2009
"Georgetown","Big-East",5,0,0,1,2,72.61,7.34,2009
"Georgia State","SBC",8,0,0,0,3,70.62,7.28,2009
"Rhode Island","A-10",7,0,0,1,2,72.45,7.03,2009
"New Mexico","M-West",6,0,0,1,4,66.75,6.97,2009
"UNC Wilmington","CAA",4,0,0,0,3,70.19,6.76,2009
"Utah State","M-West",7,0,0,0,1,76.67,6.67,2009
"South Carolina Upstate","A-Sun",5,0,0,0,1,76.67,6.67,2009
"Hawaii","Big-west",6,0,0,0,1,76.67,6.67,2009
"UC Riverside","Big-west",7,0,0,0,1,76.67,6.67,2009
"Charleston Southern","B-South",5,0,0,0,1,76.67,6.67,2009
"Columbia","Ivy",5,0,0,0,1,76.67,6.67,2009
"Saint Peter's","MAAC",7,0,0,0,1,76.67,6.67,2009
"Delaware State","MEAC",9,0,0,0,1,76.67,6.67,2009
"Norfolk State","MEAC",10,0,0,0,1,76.67,6.67,2009
"Fairleigh Dickinson","NEC",7,0,0,0,1,76.67,6.67,2009
"Tennessee-Martin","OVC",8,0,0,0,1,76.67,6.67,2009
"McNeese State","SLC",10,0,0,0,1,76.67,6.67,2009
"Nevada","M-West",8,0,0,1,2,72.02,6.08,2009
"Eastern Michigan","MAC",7,0,0,0,4,66.48,4.72,2009
"Yale","Ivy",6,0,0,0,4,66.53,4.63,2009
"Rutgers","Big-Ten",9,0,0,1,4,66.79,4.39,2009
"Vermont","A-East",3,0,0,0,5,64.42,4.15,2009
"High Point","B-South",6,0,0,1,3,65.37,3.43,2009
"Seton Hall","Big-East",6,0,0,1,2,70.44,2.92,2009
"DePaul","Big-East",7,0,0,1,2,70.34,2.75,2009
"UC Santa Barbara","Big-west",8,0,0,1,2,70.03,2.49,2009
"Indiana State","MVC",7,0,0,1,2,69.92,2.47,2009
"Penn State","Big-Ten",10,0,0,1,3,68.01,2.42,2009
"California","Pac-12",9,0,0,1,3,67.87,2,2009
"Wyoming","M-West",9,0,0,1,2,69.59,1.77,2009
"VCU","A-10",8,0,0,1,3,67.23,1.42,2009
"UC Davis","Big-west",9,0,0,1,2,69.35,1.37,2009
"Florida Atlantic","C-USA",11,0,0,1,5,62.7,0.27,2009
"UTEP","C-USA",NA,NA,NA,NA,1,0,0,2009
"Massachusetts","A-10",NA,NA,NA,NA,1,0,0,2009
"Creighton","Big-East",NA,NA,NA,NA,1,0,0,2009
"Manhattan","MAAC",NA,NA,NA,NA,1,0,0,2009
"Appalachian State","SBC",NA,NA,NA,NA,1,0,0,2009
"William & Mary","CAA",5,0,0,1,2,68.54,-0.08,2009
"Miami (OH)","MAC",8,0,0,1,4,64.79,-0.15,2009
"Saint Louis","A-10",10,0,0,1,4,64.76,-0.41,2009
"Saint Joseph's","A-10",11,0,0,1,4,61.89,-0.55,2009
"Providence","Big-East",9,0,0,1,5,64.2,-0.69,2009
"Belmont","OVC",9,0,0,1,3,65.77,-1.02,2009
"Wichita State","MVC",8,0,0,1,3,66.81,-1.29,2009
"Colorado State","M-West",10,0,0,1,4,63.79,-1.58,2009
"Tulsa","AAC",8,0,0,1,3,65.75,-2.18,2009
"Pennsylvania","Ivy",7,0,0,0,2,67.27,-3.05,2009
"Ohio","MAC",9,0,0,1,4,63.78,-3.57,2009
"East Carolina","AAC",9,0,0,1,4,63.48,-3.64,2009
"Drake","MVC",9,0,0,0,5,62.06,-4.78,2009
"Delaware","CAA",6,0,0,0,4,57.5,-5.3,2009
"San Jose State","M-West",11,0,0,1,3,63.99,-5.59,2009
"Syracuse","ACC",13,0,0,0,1,63.11,-6.89,2009
"Robert Morris","NEC",8,0,0,1,4,61.9,-6.96,2009
"Duquesne","A-10",12,0,0,0,3,63.86,-7.88,2009
"Wisconsin","Big-Ten",11,0,0,0,3,62.44,-8.04,2009
"Louisiana Tech","C-USA",13,0,0,0,3,63.72,-8.46,2009
"Butler","Big-East",10,0,0,0,1,61.25,-8.75,2009
"Tulane","AAC",10,0,0,1,2,62.5,-9.13,2009
"Stanford","Pac-12",10,0,0,0,1,59.56,-10.44,2009
"Wisconsin-Milwaukee","Horizon",8,0,0,0,3,62.73,-10.59,2009
"Northern Illinois","MAC",10,0,0,0,1,59.35,-10.65,2009
"Loyola Chicago","MVC",10,0,0,0,3,62.04,-11.44,2009
"Old Dominion","C-USA",14,0,0,0,1,57.87,-12.13,2009
"Jacksonville","A-Sun",6,0,0,0,1,57.45,-12.55,2009
"Oakland","Horizon",9,0,0,0,1,56.62,-13.38,2009
"LSU","SEC",13,0,0,0,2,62.23,-13.46,2009
"USC","Pac-12",11,0,0,0,1,56.2,-13.8,2009
"Fairfield","MAAC",9,0,0,0,1,56.18,-13.82,2009
"Louisiana","SBC",10,0,0,0,1,56.18,-13.82,2009
"Austin Peay","OVC",10,0,0,1,2,59.72,-14.25,2009
"Texas A&M","SEC",14,0,0,0,4,62.08,-15.1,2009
"Colgate","Patriot",8,0,0,0,1,54.1,-15.9,2009
"Winthrop","B-South",7,0,0,0,2,58.61,-16.91,2009
"Purdue","Big-Ten",12,0,0,0,3,61.13,-18.5,2009
"Gardner-Webb","B-South",8,0,0,0,2,57.5,-18.69,2009
"Drexel","CAA",7,0,0,0,2,57.5,-18.69,2009
"Northwestern","Big-Ten",13,0,0,0,2,58.72,-20.19,2009
"Temple","AAC",11,0,0,0,2,58.19,-21.07,2009
"Richmond","A-10",13,0,0,0,2,57.15,-23.03,2009
"Washington State","Pac-12",12,0,0,0,4,56.06,-23.34,2009
"Notre Dame","ACC",14,0,0,0,4,55.68,-25.73,2009
"Harvard","Ivy",8,0,0,0,3,57.38,-27.21,2009
"Montana","Big-Sky",11,0,0,0,3,56.4,-29.16,2009
"Toledo","MAC",11,0,0,0,3,55.76,-30.96,2009
"North Carolina A&T","MEAC",11,0,0,0,1,38.33,-31.67,2009
"Eastern Illinois","OVC",11,0,0,0,1,38.33,-31.67,2009
"Holy Cross","Patriot",9,0,0,0,3,54.86,-32.64,2009
"Boston University","Patriot",10,0,0,0,2,49.21,-35.71,2009
"Samford","Southern",1,0,0,2,2,86.02,NA,2009
"Chattanooga","Southern",2,0,0,1,4,78.41,NA,2009
