"player","old_team","new_team","yr","trank_ppg","mins_pct","year"
"JoJo Zamora","Utah","New Mexico St.","Jr",1.14629,49.2,2017
"Ty Graves","Boston College","Saint Louis","Fr",-0.589634,16.2,2017
"Ar'mond Davis","Alabama","UC Santa Barbara","Jr",0.651433,31.9,2017
"Dexter McClanahan","Savannah St.","Nicholls St.","Jr",1.53038,73.7,2018
"Jordan Hunter","New Mexico","Lamar","So",1.25932,46.2,2017
"Brandon Suggs","Bethune Cookman","UMKC","Fr",0.380954,45.1,2017
"Ahmed Ismail","Manhattan","IUPUI","Jr",-0.291747,37.3,2017
"K.J. Walton","Missouri","Ball St.","So",0.755589,47.1,2017
"Taurean Thompson","Syracuse","Seton Hall","Fr",1.85921,44.3,2017
"Vince Holmes","James Madison","Lamar","So",-1.26072,23.3,2017
"Chad Lott","Rice","Howard","So",0.656089,44.3,2017
"Andre Adams","Arizona St.","Southern Utah","So",0.457724,6,2017
"Payton Hulsey","College of Charleston","FIU","Sr",0.0443537,9.7,2017
"Brison Gresham","Massachusetts","Houston","Fr",0.446539,25.5,2017
"Chris Howell","South Dakota St.","Jackson St.","Jr",0.0652162,19,2018
"Michael Hughes","Akron","Duquesne","Fr",-0.0418224,9.4,2017
"Zavier Turner","Manhattan","Grambling St.","Sr",2.00854,72.9,2018
"Maxwell Starwood","Texas St.","Southeastern Louisiana","Fr",-0.333893,18.3,2017
"Devin Morgan","Delaware St.","Youngstown St.","So",1.52043,90.2,2017
"Damon Wilson","Pittsburgh","Georgia St.","So",-0.673927,13.7,2017
"Jontrell Walker","Ball St.","Jackson St.","Jr",1.1427,23.3,2018
"Frankie Hughes","Missouri","Duquesne","Fr",0.293146,44.8,2017
"Kevin Ndahiro","Stetson","North Alabama","So",-0.458081,10.9,2017
"Aaron Menzies","Seattle","Saint Mary's","Jr",2.80408,67.3,2018
"Shembari Phillips","Tennessee","Georgia Tech","So",0.961952,49.6,2017
"Zylan Cheatham","San Diego St.","Arizona St.","So",2.03279,53.9,2017
"Keyshawn Woods","Wake Forest","Ohio St.","Jr",2.61631,58,2018
"Mark Carbone","San Diego","New Hampshire","Fr",-0.553358,32.2,2017
"Tevin Mack","Texas","Alabama","So",3.08637,35.6,2017
"Kimar Williams","FIU","Rider","So",0.015103,34.9,2017
"Connor Kern","Arkansas St.","The Citadel","So",-0.258224,40.7,2018
"Alex Ennis","Morgan St.","Southern","Jr",-0.392666,17.7,2018
"Allante Holston","North Texas","Indiana St.","Jr",-0.205902,44.4,2018
"Malik Fitts","South Florida","Saint Mary's","Fr",0.458468,54.7,2017
"Mike Cunningham","USC Upstate","Oklahoma St.","Jr",1.84082,82.4,2018
"Matt Hubbard","Santa Clara","Cal Baptist","Jr",-0.455585,3.8,2017
"D.J. Williams","Illinois","George Washington","So",-0.32634,10,2017
"Gavin Peppers","Central Michigan","Nicholls St.","Sr",0.582269,28.8,2018
"Nick Norton","UAB","Drake","Jr",1.74986,72.9,2018
"Marial Shayok","Virginia","Iowa St.","Jr",1.73516,50.9,2017
"Stefan Gonzalez","Saint Mary's","UC Davis","So",0.600372,12.8,2017
"Eric Lockett","FIU","North Carolina St.","Jr",1.88437,92.4,2018
"Ricky Council II","Providence","UMBC","So",-0.608704,1.5,2017
"Justice Kithcart","Pittsburgh","Old Dominion","Fr",-0.835539,28.7,2017
"Mawdo Sallah","Kansas St.","Radford","Sr",0.042584,10.8,2018
"Khwan Fore","Richmond","Louisville","Jr",2.05113,71.9,2018
"Shawn O'Connell","Georgia Southern","UNC Wilmington","Jr",0.902329,28.8,2018
"Collin Smith","George Washington","UCF","Fr",0.368775,42.5,2017
"Darian Jones","Tulane","Florida A&M","Fr",-0.126908,1.3,2017
"Tavian Dunn-Martin","Akron","Duquesne","Fr",0.555956,26.3,2017
"Eric Hamilton","Wichita St.","UNC Greensboro","So",-0.246881,8,2017
"Justin Coleman","Samford","Arizona","Sr",3.19319,82.2,2018
